State,State_Full,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Population
AR,Arkansas,Zinc town,88.3,1.0,0.0,0.0,1.9,69.0
CA,California,Acalanes Ridge CDP,83.6,0.4,0.7,11.1,4.4,1139.0
CA,California,Acampo CDP,49.6,0.0,0.3,0.9,58.4,787.0
CA,California,Acton CDP,86.4,0.8,0.9,2.0,18.1,7058.0
CA,California,Adelanto city,43.8,20.5,1.3,1.9,58.3,32059.0
CA,California,Adin CDP,88.2,0.7,2.9,0.0,11.8,173.0
CA,California,Agoura Hills city,84.3,1.3,0.3,7.5,9.5,20697.0
CA,California,Agua Dulce CDP,85.4,1.8,0.7,2.3,18.3,3567.0
CA,California,Aguanga CDP,82.4,1.0,1.8,2.1,24.3,766.0
CA,California,Ahwahnee CDP,91.9,0.3,1.3,0.7,8.7,1709.0
CA,California,Airport CDP,56.4,2.1,2.4,3.4,63.6,1565.0
CA,California,Alameda city,50.8,6.4,0.6,31.2,11.0,76733.0
CA,California,Alamo CDP,86.9,0.5,0.1,8.2,5.8,16301.0
CA,California,Albany city,54.6,3.5,0.5,31.2,10.2,19249.0
CA,California,Albion CDP,89.3,0.6,2.4,3.0,2.4,303.0
CA,California,Alderpoint CDP,91.4,0.0,4.8,0.5,5.4,311.0
CA,California,Alhambra city,28.3,1.5,0.6,52.9,34.4,84782.0
CA,California,Alhambra Valley CDP,90.7,0.3,0.0,4.5,8.8,557.0
CA,California,Aliso Viejo city,72.0,2.0,0.3,14.6,17.1,49829.0
CA,California,Alleghany CDP,100.0,0.0,0.0,0.0,1.7,116.0
CA,California,Allendale CDP,82.3,3.3,1.5,2.8,15.6,1528.0
CA,California,Allensworth CDP,33.5,4.7,0.0,1.7,92.6,565.0
CA,California,Almanor CDP,,,,,,0.0
CA,California,Alondra Park CDP,43.2,9.4,0.4,16.2,50.1,7865.0
CA,California,Alpaugh CDP,37.1,0.4,1.1,0.4,84.5,1103.0
CA,California,Alpine CDP,87.3,1.2,1.6,2.2,14.6,14830.0
CA,California,Alpine Village CDP,79.8,0.0,16.7,0.9,5.3,116.0
CA,California,Alta CDP,97.0,0.2,0.5,0.8,3.8,455.0
CA,California,Altadena CDP,52.8,23.7,0.7,5.4,26.9,44621.0
CA,California,Alta Sierra CDP,93.1,0.3,0.8,1.1,7.1,6624.0
CA,California,Alto CDP,87.1,1.1,0.3,4.2,7.2,735.0
CA,California,Alturas city,86.0,0.5,2.9,1.6,12.3,2660.0
CA,California,Alum Rock CDP,42.4,1.3,1.9,13.1,70.7,11051.0
CA,California,Amador City city,92.4,0.0,2.2,1.1,5.9,152.0
CA,California,American Canyon city,38.9,7.9,0.7,32.9,25.7,20271.0
CA,California,Amesti CDP,54.3,0.3,1.2,2.6,65.4,3274.0
CA,California,Anaheim city,52.7,2.8,0.8,14.8,52.8,345578.0
CA,California,Anchor Bay CDP,88.5,0.6,1.5,0.6,8.5,329.0
CA,California,Anderson city,83.3,0.7,4.3,2.6,10.8,10122.0
CA,California,Angels city,86.8,0.3,1.3,1.3,13.0,3753.0
CA,California,Angwin CDP,69.6,4.6,0.7,11.1,20.5,3522.0
CA,California,Antelope CDP,63.8,8.8,0.9,13.3,14.5,47763.0
CA,California,Antioch city,48.9,17.3,0.9,10.5,31.7,107501.0
CA,California,Anza CDP,80.0,1.1,1.9,1.2,26.2,2771.0
CA,California,Apple Valley town,69.1,9.1,1.1,2.9,29.2,71083.0
CA,California,Aptos CDP,87.1,0.9,0.7,4.0,9.8,6048.0
CA,California,Aptos Hills-Larkin Valley CDP,81.3,0.5,0.2,2.3,22.7,2221.0
CA,California,Arbuckle CDP,57.7,0.6,0.8,0.6,69.9,3360.0
CA,California,Arcadia city,32.3,1.2,0.3,59.2,12.1,57564.0
CA,California,Arcata city,81.8,2.0,2.3,2.6,11.6,17752.0
CA,California,Arden-Arcade CDP,70.2,8.7,1.0,5.6,18.6,93993.0
CA,California,Armona CDP,49.5,2.4,1.5,2.0,67.0,3724.0
CA,California,Arnold CDP,93.4,0.5,0.7,1.2,6.7,2554.0
CA,California,Aromas CDP,75.0,0.6,1.4,1.8,34.9,2860.0
CA,California,Arroyo Grande city,85.3,0.9,0.7,3.4,15.7,17720.0
CA,California,Artesia city,39.0,3.6,0.6,37.1,35.8,16785.0
CA,California,Artois CDP,83.1,0.0,2.7,1.0,18.3,225.0
CA,California,Arvin city,53.1,1.0,1.2,0.8,92.7,20328.0
CA,California,Ashland CDP,30.6,19.5,1.1,18.4,42.8,24226.0
CA,California,Aspen Springs CDP,95.4,0.0,0.0,3.1,1.5,45.0
CA,California,Atascadero city,86.4,2.1,1.0,2.4,15.6,29084.0
CA,California,Atherton town,80.5,1.1,0.1,13.2,3.9,7081.0
CA,California,Atwater city,65.4,4.3,1.3,5.0,52.6,28858.0
CA,California,Auberry CDP,86.4,0.4,4.4,1.0,13.0,2420.0
CA,California,Auburn city,89.0,0.8,1.0,1.8,10.0,13785.0
CA,California,Auburn Lake Trails CDP,93.1,0.2,0.8,1.1,6.1,3866.0
CA,California,August CDP,46.7,2.7,2.2,4.3,70.3,8369.0
CA,California,Avalon city,62.0,0.5,0.6,1.3,55.8,3777.0
CA,California,Avenal city,39.0,10.5,1.2,0.7,71.8,14154.0
CA,California,Avery CDP,93.5,0.8,1.1,0.5,5.9,622.0
CA,California,Avilla Beach CDP,92.6,0.8,0.4,2.0,6.8,
CA,California,Avocado Heights CDP,55.6,0.9,0.7,8.8,82.1,15917.0
CA,California,Azusa city,57.6,3.2,1.2,8.7,67.6,48033.0
CA,California,Baker CDP,41.1,0.1,0.7,1.4,68.3,831.0
CA,California,Bakersfield city,56.8,8.2,1.5,6.2,45.5,363612.0
CA,California,Baldwin Park city,43.9,1.2,0.9,14.2,80.1,76602.0
CA,California,Ballard CDP,92.5,0.6,0.2,0.4,9.9,373.0
CA,California,Ballico CDP,58.4,0.5,0.7,2.7,51.7,315.0
CA,California,Bangor CDP,84.1,0.8,2.6,0.6,7.3,586.0
CA,California,Banning city,64.7,7.3,2.2,5.2,41.1,30515.0
CA,California,Barstow city,52.3,14.6,2.1,3.2,42.8,23281.0
CA,California,Bass Lake CDP,95.4,0.2,1.9,0.2,4.2,739.0
CA,California,Bay Point CDP,41.4,11.6,1.1,9.9,54.9,22473.0
CA,California,Bayview CDP (Contra Costa County),49.7,10.6,1.0,21.0,29.7,1728.0
CA,California,Bayview CDP (Humboldt County),78.0,1.1,4.7,3.5,16.9,2548.0
CA,California,Beale AFB CDP,71.9,8.9,2.4,3.4,14.5,1143.0
CA,California,Bear Creek CDP,53.8,1.4,0.7,4.8,58.6,167.0
CA,California,Bear Valley CDP (Alpine County),98.3,0.0,0.0,0.8,0.8,25.0
CA,California,Bear Valley CDP (Mariposa County),93.6,0.0,0.8,1.6,6.4,155.0
CA,California,Bear Valley Springs CDP,92.3,1.4,0.9,1.1,7.7,4661.0
CA,California,Beaumont city,62.8,6.2,1.5,7.7,40.3,40899.0
CA,California,Beckwourth CDP,93.1,0.0,2.5,0.5,6.7,238.0
CA,California,Belden CDP,90.9,0.0,0.0,0.0,0.0,0.0
CA,California,Bell city,53.8,0.9,0.9,0.7,93.1,35998.0
CA,California,Bella Vista CDP,92.0,0.6,1.5,1.1,6.4,2860.0
CA,California,Bell Canyon CDP,84.1,2.8,0.2,8.7,5.0,2094.0
CA,California,Bellflower city,42.2,14.0,1.0,11.6,52.3,77756.0
CA,California,Bell Gardens city,49.5,0.9,1.1,0.6,95.7,42842.0
CA,California,Belmont city,67.6,1.6,0.3,19.9,11.5,26766.0
CA,California,Belvedere city,93.8,0.1,0.0,2.8,3.5,1992.0
CA,California,Benbow CDP,91.6,0.0,0.6,0.3,7.8,230.0
CA,California,Bend CDP,92.1,0.6,2.4,0.5,7.8,559.0
CA,California,Benicia city,72.5,5.6,0.5,11.1,12.0,27657.0
CA,California,Ben Lomond CDP,91.3,0.5,0.8,1.1,8.3,6507.0
CA,California,Benton CDP,71.1,0.4,21.1,0.4,13.6,333.0
CA,California,Berkeley city,59.5,10.0,0.4,19.3,10.8,117384.0
CA,California,Bermuda Dunes CDP,74.6,2.5,0.9,3.3,32.6,8219.0
CA,California,Berry Creek CDP,87.7,0.6,3.4,0.9,6.9,1325.0
CA,California,Bertsch-Oceanview CDP,74.3,0.1,12.1,3.9,12.7,2516.0
CA,California,Bethel Island CDP,86.2,1.9,0.7,2.2,13.1,2172.0
CA,California,Beverly Hills city,82.4,2.2,0.1,8.9,5.7,34663.0
CA,California,Bieber CDP,84.6,0.0,4.8,0.3,23.1,120.0
CA,California,Big Bear City CDP,83.3,0.7,1.6,0.8,18.9,13535.0
CA,California,Big Bear Lake city,83.8,0.4,1.0,1.6,21.4,5145.0
CA,California,Big Bend CDP,83.3,0.0,9.8,0.0,2.0,94.0
CA,California,Big Creek CDP,90.3,0.6,0.6,2.9,15.4,248.0
CA,California,Biggs city,76.3,0.6,3.2,0.5,34.0,1765.0
CA,California,Big Lagoon CDP,78.5,0.0,11.8,0.0,11.8,92.0
CA,California,Big Pine CDP,67.9,0.2,24.9,0.7,10.4,1661.0
CA,California,Big River CDP,85.7,1.1,3.8,0.2,12.1,1068.0
CA,California,Biola CDP,31.4,0.4,2.6,19.5,73.7,1151.0
CA,California,Bishop city,73.9,0.6,2.3,1.6,30.9,3839.0
CA,California,Blackhawk CDP,73.6,1.8,0.2,19.3,5.0,9304.0
CA,California,Blacklake CDP,93.0,0.9,0.8,2.6,7.5,727.0
CA,California,Black Point-Green Point CDP,90.7,0.5,0.5,3.4,8.6,1250.0
CA,California,Blairsden CDP,97.4,0.0,0.0,0.0,5.1,55.0
CA,California,Bloomfield CDP,81.7,0.0,0.0,1.2,18.0,420.0
CA,California,Bloomington CDP,54.5,2.7,1.3,1.4,81.0,24864.0
CA,California,Blue Lake city,87.3,0.4,4.4,1.0,6.5,1310.0
CA,California,Bluewater CDP,90.7,1.2,0.6,0.0,6.4,179.0
CA,California,Blythe city,59.5,15.0,1.2,1.5,53.2,19839.0
CA,California,Bodega CDP,95.0,0.0,0.9,0.9,4.1,212.0
CA,California,Bodega Bay CDP,88.3,0.2,0.4,3.1,11.7,671.0
CA,California,Bodfish CDP,89.9,0.2,2.6,0.7,9.7,2066.0
CA,California,Bolinas CDP,86.8,1.7,0.6,1.0,16.0,1358.0
CA,California,Bombay Beach CDP,75.6,12.5,2.7,0.3,20.0,250.0
CA,California,Bonadelle Ranchos-Madera Ranchos CDP,82.1,1.3,1.4,2.4,26.9,8866.0
CA,California,Bonita CDP,66.9,3.7,0.9,9.6,40.7,12931.0
CA,California,Bonny Doon CDP,92.4,0.3,0.6,1.9,6.3,2947.0
CA,California,Bonsall CDP,80.2,1.7,0.7,3.5,22.4,3896.0
CA,California,Boonville CDP,60.9,0.9,1.7,0.7,50.2,721.0
CA,California,Bootjack CDP,84.5,0.2,3.5,1.1,7.9,836.0
CA,California,Boron CDP,77.5,7.2,2.2,2.1,18.0,2326.0
CA,California,Boronda CDP,38.7,0.6,1.5,6.8,85.2,1271.0
CA,California,Borrego Springs CDP,80.7,0.6,1.0,0.6,35.5,2518.0
CA,California,Bostonia CDP,70.8,6.6,0.7,2.4,25.6,16787.0
CA,California,Boulder Creek CDP,90.0,1.1,0.6,1.6,7.4,4481.0
CA,California,Boulevard CDP,86.3,0.6,2.2,1.0,14.0,461.0
CA,California,Bowles CDP,65.1,3.6,0.6,0.6,42.8,194.0
CA,California,Boyes Hot Springs CDP,67.7,0.7,1.4,1.3,49.1,7229.0
CA,California,Bradbury city,62.2,2.1,0.4,26.3,20.8,839.0
CA,California,Bradley CDP,91.4,0.0,2.2,0.0,11.8,125.0
CA,California,Brawley city,54.4,2.0,1.0,1.4,81.5,25656.0
CA,California,Brea city,67.1,1.4,0.5,18.2,25.0,40931.0
CA,California,Brentwood city,67.9,6.6,0.6,7.9,26.8,55490.0
CA,California,Bret Harte CDP,47.4,1.0,1.0,0.8,82.9,5188.0
CA,California,Bridgeport CDP,84.2,0.2,7.5,0.2,25.7,909.0
CA,California,Brisbane city,60.2,1.9,0.5,25.3,16.6,4496.0
CA,California,Broadmoor CDP,40.8,2.4,0.7,40.1,23.5,5409.0
CA,California,Brookdale CDP,89.9,0.5,0.6,1.0,10.1,2282.0
CA,California,Brooktrails CDP,87.1,0.7,2.7,0.8,10.2,3225.0
CA,California,Buckhorn CDP,93.0,0.4,1.5,1.0,6.9,2179.0
CA,California,Buck Meadows CDP,74.2,0.0,0.0,0.0,22.6,52.0
CA,California,Bucks Lake CDP,70.0,0.0,0.0,10.0,30.0,16.0
CA,California,Buellton city,81.0,0.8,1.6,2.8,30.1,4977.0
CA,California,Buena Park city,45.3,3.8,1.1,26.7,39.3,82683.0
CA,California,Buena Vista CDP,85.1,0.2,5.4,0.0,8.2,326.0
CA,California,Burbank city,72.7,2.5,0.5,11.6,24.5,104725.0
CA,California,Burbank city,72.7,2.5,0.5,11.6,24.5,5736.0
CA,California,Burbank CDP,60.8,2.7,1.3,7.7,50.9,104725.0
CA,California,Burbank CDP,60.8,2.7,1.3,7.7,50.9,5736.0
CA,California,Burlingame city,67.7,1.2,0.3,20.3,13.8,29941.0
CA,California,Burney CDP,85.1,0.4,7.4,0.2,8.4,3257.0
CA,California,Burnt Ranch CDP,85.8,0.0,5.3,1.4,6.8,344.0
CA,California,Butte Creek Canyon CDP,93.1,0.0,1.8,1.7,4.4,938.0
CA,California,Butte Meadows CDP,95.0,0.0,0.0,0.0,0.0,27.0
CA,California,Butte Valley CDP,87.0,0.0,2.1,1.0,9.9,498.0
CA,California,Buttonwillow CDP,35.4,2.4,0.7,0.7,78.4,1425.0
CA,California,Byron CDP,71.3,4.8,0.9,0.3,39.4,1325.0
CA,California,Bystrom CDP,50.0,2.0,1.5,2.3,76.2,3889.0
CA,California,Cabazon CDP,69.1,5.3,3.6,1.5,44.8,3633.0
CA,California,Calabasas city,83.9,1.6,0.2,8.6,6.4,24075.0
CA,California,Calexico city,60.0,0.3,0.5,1.3,96.8,39601.0
CA,California,California City city,65.1,15.2,0.9,2.6,38.1,13201.0
CA,California,California Hot Springs CDP,91.9,0.0,0.0,2.7,8.1,65.0
CA,California,California Pines CDP,80.0,2.1,3.1,1.2,16.0,335.0
CA,California,Calimesa city,86.0,1.1,1.3,1.3,22.4,8269.0
CA,California,Calipatria city,41.7,20.9,1.0,1.2,64.1,7557.0
CA,California,Calistoga city,72.5,0.5,0.4,0.9,49.4,5267.0
CA,California,Callender CDP,79.5,0.6,1.7,3.8,28.1,1710.0
CA,California,Calpella CDP,68.5,0.4,3.7,0.4,37.7,419.0
CA,California,Calpine CDP,89.8,0.0,0.0,0.0,12.7,207.0
CA,California,Calwa CDP,48.5,1.2,3.3,2.1,90.1,1282.0
CA,California,Camanche North Shore CDP,87.8,0.3,1.4,1.2,15.3,696.0
CA,California,Camanche Village CDP,90.0,0.0,1.1,0.9,14.3,720.0
CA,California,Camarillo city,75.1,1.9,0.6,10.2,22.9,66445.0
CA,California,Cambria CDP,85.6,0.3,0.8,1.3,19.7,6279.0
CA,California,Cambrian Park CDP,79.2,0.8,0.9,6.7,18.0,3363.0
CA,California,Cameron Park CDP,89.1,0.8,1.1,2.3,11.3,19437.0
CA,California,Camino CDP,91.7,0.4,0.8,1.0,11.3,1905.0
CA,California,Camino Tassajara CDP,39.9,2.4,0.2,50.8,6.3,2247.0
CA,California,Campbell city,66.9,2.9,0.7,16.1,18.4,40688.0
CA,California,Camp Nelson CDP,96.9,0.0,0.0,0.0,6.2,101.0
CA,California,Campo CDP,77.6,4.2,3.4,1.2,29.6,2883.0
CA,California,Camp Pendleton North CDP,71.7,9.6,1.6,2.9,22.3,7457.0
CA,California,Camp Pendleton South CDP,70.9,9.3,1.4,2.8,24.4,11394.0
CA,California,Camptonville CDP,74.1,0.0,9.5,1.3,3.2,172.0
CA,California,Canby CDP,92.7,0.6,2.2,0.3,7.6,545.0
CA,California,Cantua Creek CDP,52.4,1.1,0.6,0.2,98.9,529.0
CA,California,Canyondam CDP,83.9,0.0,9.7,6.5,6.5,102.0
CA,California,Canyon Lake city,89.9,1.2,0.6,1.8,12.3,10918.0
CA,California,Capitola city,80.3,1.2,0.6,4.3,19.7,10077.0
CA,California,Caribou CDP,,,,,,0.0
CA,California,Carlsbad city,82.8,1.3,0.5,7.1,13.3,110830.0
CA,California,Carmel-by-the-Sea city,93.1,0.3,0.2,3.0,4.7,3834.0
CA,California,Carmel Valley Village CDP,91.8,0.5,0.5,1.6,7.4,4302.0
CA,California,Carmet CDP,91.5,0.0,0.0,2.1,0.0,15.0
CA,California,Carmichael CDP,80.6,4.8,0.9,4.3,11.7,63712.0
CA,California,Carnelian Bay CDP,94.1,0.2,0.8,2.7,2.5,433.0
CA,California,Carpinteria city,71.7,0.8,1.1,2.3,48.7,13449.0
CA,California,Carrick CDP,84.0,5.3,1.5,1.5,6.1,67.0
CA,California,Carson city,23.8,23.8,0.6,25.6,38.6,92691.0
CA,California,Cartago CDP,68.5,0.0,7.6,0.0,17.4,39.0
CA,California,Caruthers CDP,49.0,0.6,1.5,8.9,63.7,3128.0
CA,California,Casa Conejo CDP,78.8,0.8,0.6,4.9,26.2,3358.0
CA,California,Casa de Oro-Mount Helix CDP,79.3,5.9,0.5,3.2,17.2,20222.0
CA,California,Casmalia CDP,65.9,2.2,0.0,0.7,42.0,116.0
CA,California,Caspar CDP,93.1,0.6,0.0,1.6,2.9,801.0
CA,California,Cassel CDP,93.7,0.0,1.4,0.0,2.9,362.0
CA,California,Castaic CDP,71.6,3.3,0.6,11.4,24.8,19369.0
CA,California,Castle Hill CDP,85.6,2.2,0.1,8.5,6.0,1204.0
CA,California,Castro Valley CDP,58.0,6.9,0.5,21.4,17.4,62044.0
CA,California,Castroville CDP,43.3,1.5,1.5,2.6,90.1,6707.0
CA,California,Cathedral City city,63.5,2.6,1.1,5.0,58.8,53020.0
CA,California,Catheys Valley CDP,88.5,0.7,1.5,1.5,9.7,747.0
CA,California,Cayucos CDP,91.3,0.2,0.5,2.1,8.0,2758.0
CA,California,Cazadero CDP,89.8,0.3,2.0,1.4,6.5,243.0
CA,California,Cedar Ridge CDP,94.2,0.3,0.5,0.4,6.3,1250.0
CA,California,Cedar Slope CDP,,,,,,0.0
CA,California,Cedarville CDP,82.1,0.2,2.9,0.0,16.7,298.0
CA,California,Centerville CDP,81.9,0.3,2.3,5.1,25.3,404.0
CA,California,Ceres city,57.7,2.6,1.3,6.8,56.0,46952.0
CA,California,Cerritos city,23.1,6.9,0.3,61.9,12.0,49701.0
CA,California,Chalfant CDP,91.2,0.0,2.0,0.8,10.3,581.0
CA,California,Challenge-Brownsville CDP,87.6,0.9,2.7,0.4,7.8,788.0
CA,California,Channel Islands Beach CDP,87.4,0.9,0.5,3.5,13.0,3072.0
CA,California,Charter Oak CDP,60.2,4.4,0.9,11.1,48.8,9247.0
CA,California,Cherokee CDP,69.6,0.0,2.9,11.6,1.4,111.0
CA,California,Cherokee Strip CDP,37.0,0.0,1.8,0.0,82.4,243.0
CA,California,Cherryland CDP,41.0,11.5,1.4,9.5,54.0,15470.0
CA,California,Cherry Valley CDP,85.7,1.0,1.6,1.4,21.2,6798.0
CA,California,Chester CDP,91.1,0.5,2.1,1.0,8.3,2044.0
CA,California,Chico city,80.8,2.1,1.4,4.2,15.4,88455.0
CA,California,Chilcoot-Vinton CDP,92.1,0.2,0.9,0.2,8.4,46.0
CA,California,China Lake Acres CDP,85.3,1.9,1.5,0.9,14.1,1820.0
CA,California,Chinese Camp CDP,73.0,0.0,5.6,0.0,19.8,170.0
CA,California,Chino city,56.4,6.2,1.0,10.5,53.8,82208.0
CA,California,Chino Hills city,50.8,4.6,0.5,30.3,29.1,76796.0
CA,California,Chowchilla city,61.6,12.6,2.0,2.1,37.8,18384.0
CA,California,Chualar CDP,28.3,0.1,0.2,0.9,96.7,1229.0
CA,California,Chula Vista city,53.7,4.6,0.8,14.4,58.2,257296.0
CA,California,Citrus CDP,54.3,2.2,1.1,7.9,72.8,11460.0
CA,California,Citrus Heights city,80.3,3.3,0.9,3.3,16.5,85408.0
CA,California,Claremont city,70.6,4.7,0.5,13.1,19.8,35762.0
CA,California,Clarksburg CDP,81.1,0.5,0.5,3.8,26.1,472.0
CA,California,Clay CDP,82.1,0.5,2.0,0.7,20.3,1113.0
CA,California,Clayton city,85.1,1.3,0.3,6.6,9.0,11497.0
CA,California,Clear Creek CDP,88.2,0.0,3.0,0.0,8.9,217.0
CA,California,Clearlake city,73.8,4.0,2.6,1.1,21.3,15097.0
CA,California,Clearlake Oaks CDP,87.1,2.3,1.9,1.4,8.1,1651.0
CA,California,Clearlake Riviera CDP,85.5,1.2,2.4,1.3,13.7,2973.0
CA,California,Cleone CDP,83.8,0.2,0.5,0.5,20.1,648.0
CA,California,Clio CDP,97.0,0.0,0.0,0.0,1.5,47.0
CA,California,Clipper Mills CDP,92.3,0.0,2.1,0.0,3.5,94.0
CA,California,Cloverdale city,74.9,0.6,1.8,1.1,32.8,8735.0
CA,California,Clovis city,70.9,2.7,1.4,10.7,25.6,100437.0
CA,California,Clyde CDP,78.2,1.6,0.6,8.6,14.6,751.0
CA,California,Coachella city,48.1,0.8,0.7,0.7,96.4,43308.0
CA,California,Coalinga city,57.8,4.1,1.3,3.0,53.5,16940.0
CA,California,Coarsegold CDP,87.9,0.6,2.7,1.7,8.5,994.0
CA,California,Cobb CDP,91.4,0.8,1.7,0.7,6.4,1016.0
CA,California,Coffee Creek CDP,91.2,0.0,2.3,2.3,7.4,142.0
CA,California,Cohasset CDP,90.2,0.9,1.7,0.2,5.1,933.0
CA,California,Cold Springs CDP (El Dorado County),92.6,0.9,1.1,0.7,9.6,573.0
CA,California,Cold Springs CDP (Tuolumne County),96.7,0.6,1.7,0.6,2.2,163.0
CA,California,Coleville CDP,78.0,1.2,2.0,1.6,22.2,368.0
CA,California,Colfax city,89.6,0.2,1.3,1.5,9.1,2210.0
CA,California,College City CDP,71.4,0.0,1.7,0.3,46.2,188.0
CA,California,Collierville CDP,80.2,0.7,1.1,2.5,26.8,1697.0
CA,California,Colma town,34.6,3.3,0.4,34.5,39.5,1571.0
CA,California,Coloma CDP,87.3,0.8,0.6,1.5,11.9,874.0
CA,California,Colton city,43.4,9.7,1.3,5.0,71.0,53566.0
CA,California,Columbia CDP,89.9,1.2,1.1,1.3,7.4,2597.0
CA,California,Colusa city,66.1,0.9,1.8,1.3,52.4,5939.0
CA,California,Commerce city,54.0,0.7,1.3,1.1,94.5,13017.0
CA,California,Comptche CDP,91.8,0.0,0.6,0.6,6.3,73.0
CA,California,Compton city,25.9,32.9,0.7,0.3,65.0,97955.0
CA,California,Concord city,64.5,3.6,0.7,11.1,30.6,126268.0
CA,California,Concow CDP,86.1,0.0,3.4,0.7,7.9,550.0
CA,California,Copperopolis CDP,90.4,0.8,1.2,1.0,12.4,4396.0
CA,California,Corcoran city,36.0,15.0,1.4,0.8,62.6,23216.0
CA,California,Corning city,71.9,0.6,2.6,1.1,42.7,7586.0
CA,California,Corona city,59.7,5.9,0.8,9.9,43.6,159595.0
CA,California,Coronado city,88.1,2.1,0.5,3.0,12.2,24447.0
CA,California,Coronita CDP,63.2,1.5,1.2,4.1,51.7,3079.0
CA,California,Corralitos CDP,85.1,0.7,0.5,2.1,22.9,2646.0
CA,California,Corte Madera town,84.4,0.9,0.2,6.8,8.3,9595.0
CA,California,Costa Mesa city,68.5,1.5,0.6,7.9,35.8,112377.0
CA,California,Cotati city,81.6,1.7,1.0,3.9,17.3,7376.0
CA,California,Coto de Caza CDP,88.1,0.9,0.2,5.9,7.9,14554.0
CA,California,Cottonwood CDP,85.8,0.1,3.0,3.3,10.6,3801.0
CA,California,Coultervillle CDP,90.0,0.0,2.5,0.5,10.0,
CA,California,Country Club CDP,61.2,5.0,1.7,6.7,40.4,9997.0
CA,California,Courtland CDP,69.6,0.0,1.7,1.1,56.3,512.0
CA,California,Covelo CDP,48.7,1.1,37.8,0.8,13.0,1346.0
CA,California,Covina city,58.5,4.2,1.1,11.9,52.4,48587.0
CA,California,Cowan CDP,86.2,0.0,0.6,0.0,50.6,525.0
CA,California,Crescent City city,66.1,11.9,4.8,4.4,30.6,7120.0
CA,California,Crescent Mills CDP,87.8,0.5,7.7,0.0,13.3,219.0
CA,California,Cressey CDP,64.2,0.3,0.8,3.8,49.5,315.0
CA,California,Crest CDP,89.8,0.9,0.8,1.5,12.3,2712.0
CA,California,Crestline CDP,86.2,1.0,1.3,0.9,16.5,9240.0
CA,California,Crestmore Heights CDP,59.6,0.5,0.5,1.6,68.5,
CA,California,Creston CDP,94.7,0.0,2.1,1.1,6.4,22.0
CA,California,C-Road CDP,93.3,0.0,0.0,1.3,6.0,99.0
CA,California,Crockett CDP,79.8,4.7,1.0,3.5,15.8,3044.0
CA,California,Cromberg CDP,91.6,0.0,1.9,2.3,6.9,132.0
CA,California,Crowley Lake CDP,87.9,0.5,0.7,1.3,14.6,654.0
CA,California,Crows Landing CDP,45.6,1.4,0.3,0.0,69.9,207.0
CA,California,Cudahy city,49.2,1.4,1.0,0.6,96.0,24138.0
CA,California,Culver City city,60.3,9.5,0.5,14.8,23.2,39469.0
CA,California,Cupertino city,31.3,0.6,0.2,63.3,3.6,60171.0
CA,California,Cutler CDP,48.4,1.0,1.1,1.3,96.6,4569.0
CA,California,Cutten CDP,84.6,0.9,3.8,2.6,8.2,2999.0
CA,California,Cuyama CDP,70.2,0.0,3.5,0.0,70.2,91.0
CA,California,Cypress city,54.4,3.0,0.6,31.3,18.4,49008.0
CA,California,Daly City city,23.6,3.6,0.4,55.6,23.7,104930.0
CA,California,Dana Point city,86.1,0.9,0.7,3.2,17.0,34003.0
CA,California,Danville town,83.1,0.9,0.2,10.5,6.8,43410.0
CA,California,Daphnedale Park CDP,90.2,1.1,3.3,0.0,9.8,90.0
CA,California,Darwin CDP,88.4,0.0,4.7,2.3,4.7,24.0
CA,California,Davenport CDP,66.7,1.5,1.2,2.9,42.2,297.0
CA,California,Davis city,64.9,2.3,0.5,21.9,12.5,66510.0
CA,California,Day Valley CDP,85.0,0.6,0.7,2.5,13.8,3836.0
CA,California,Deer Park CDP,87.5,1.0,0.7,4.0,11.6,1104.0
CA,California,Del Aire CDP,60.5,4.6,0.6,9.2,47.2,10692.0
CA,California,Delano city,36.4,7.9,0.9,12.7,71.5,52807.0
CA,California,Delft Colony CDP,46.9,2.9,0.0,0.0,94.3,132.0
CA,California,Delhi CDP,52.6,1.1,1.5,3.8,71.7,10026.0
CA,California,Delleker CDP,71.3,1.0,3.3,0.4,26.4,656.0
CA,California,Del Mar city,94.0,0.2,0.2,2.8,4.2,4269.0
CA,California,Del Monte Forest CDP,86.9,1.0,0.2,8.6,3.7,5122.0
CA,California,Del Rey CDP,45.1,0.4,0.7,2.1,93.6,1457.0
CA,California,Del Rey Oaks city,81.7,1.0,0.7,7.9,10.4,1673.0
CA,California,Del Rio CDP,80.9,2.0,0.4,11.3,8.4,1925.0
CA,California,Denair CDP,77.8,0.6,1.2,1.0,32.3,5176.0
CA,California,Derby Acres CDP,89.8,0.0,0.3,0.0,11.2,320.0
CA,California,Descanso CDP,90.7,0.4,2.0,1.1,10.5,1355.0
CA,California,Desert Center CDP,80.4,0.5,1.5,1.0,18.6,207.0
CA,California,Desert Edge CDP,79.8,0.4,0.9,0.7,31.9,4431.0
CA,California,Desert Hot Springs city,58.0,8.2,1.4,2.6,52.6,27912.0
CA,California,Desert Palms CDP,96.7,0.8,0.2,1.4,2.5,6826.0
CA,California,Desert Shores CDP,64.2,0.7,2.4,0.4,76.8,1383.0
CA,California,Desert View Highlands CDP,54.5,7.7,1.2,2.1,53.1,2489.0
