State,State_Full,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Population
AL,Alabama,Brundidge city,34.1,62.9,0.5,0.6,3.0,2189.0
AL,Alabama,Bucks CDP,59.4,31.3,3.1,0.0,3.1,50.0
AL,Alabama,Butler town,71.4,26.7,0.2,0.2,0.7,2360.0
AL,Alabama,Calera city,71.2,23.0,0.2,0.6,5.0,12593.0
AL,Alabama,Calvert CDP,53.1,35.4,6.9,0.0,2.2,394.0
AL,Alabama,Camden city,42.0,57.4,0.1,0.0,0.7,2721.0
AL,Alabama,Camp Hill town,10.2,88.4,0.1,0.1,0.7,1051.0
AL,Alabama,Carbon Hill city,89.4,8.2,0.2,0.1,1.2,1739.0
AL,Alabama,Cardiff town,94.5,5.5,0.0,0.0,0.0,30.0
AL,Alabama,Carlisle-Rockledge CDP,95.0,0.9,0.9,0.1,3.1,2910.0
AL,Alabama,Carlton CDP,66.2,33.8,0.0,0.0,3.1,74.0
AL,Alabama,Carolina town,96.6,0.3,0.3,0.0,0.0,285.0
AL,Alabama,Carrollton town,49.0,43.1,0.1,0.0,10.4,922.0
AL,Alabama,Castleberry town,59.2,38.4,0.3,0.0,0.5,543.0
AL,Alabama,Catherine CDP,72.7,27.3,0.0,0.0,0.0,20.0
AL,Alabama,Cedar Bluff town,86.2,9.9,0.7,0.3,1.2,2017.0
AL,Alabama,Center Point city,32.6,62.9,0.2,0.4,4.8,16797.0
AL,Alabama,Centre city,87.0,9.9,0.4,0.3,1.2,3570.0
AL,Alabama,Centreville city,72.2,23.7,0.3,0.4,3.0,2719.0
AL,Alabama,Chatom town,68.2,31.1,0.0,0.0,0.6,1006.0
AL,Alabama,Chelsea city,89.5,5.7,0.3,2.0,3.2,11386.0
AL,Alabama,Cherokee town,77.6,18.3,0.5,0.3,1.7,850.0
AL,Alabama,Chickasaw city,63.0,33.6,0.8,0.5,2.3,6005.0
AL,Alabama,Childersburg city,60.1,36.9,0.4,0.5,1.3,5105.0
AL,Alabama,Choccolocco CDP,87.5,7.2,0.3,0.7,4.3,2279.0
AL,Alabama,Chunchula CDP,45.7,51.9,0.0,0.0,0.5,136.0
AL,Alabama,Citronelle city,70.7,20.2,4.9,0.5,2.6,3886.0
AL,Alabama,Clanton city,74.9,19.1,0.3,0.6,6.0,8715.0
AL,Alabama,Clay city,84.1,13.3,0.3,0.6,1.3,9682.0
AL,Alabama,Clayhatchee town,94.9,1.7,0.3,0.3,2.4,441.0
AL,Alabama,Clayton town,35.8,63.8,0.0,0.0,0.6,2947.0
AL,Alabama,Cleveland town,89.2,0.3,0.2,0.3,18.4,1206.0
AL,Alabama,Clio city,32.0,36.5,0.4,0.5,36.0,856.0
AL,Alabama,Coaling town,86.4,11.4,0.1,0.1,0.8,1808.0
AL,Alabama,Coats Bend CDP,84.4,12.6,0.5,0.0,0.9,1842.0
AL,Alabama,Coffee Springs town,96.1,0.0,0.0,0.0,2.6,264.0
AL,Alabama,Coffeeville town,51.4,46.0,0.0,0.0,0.6,383.0
AL,Alabama,Coker town,95.2,2.0,0.2,0.9,1.8,819.0
AL,Alabama,Collinsville town,47.8,9.0,1.1,0.1,43.1,2104.0
AL,Alabama,Colony town,10.4,86.9,0.0,0.4,0.4,345.0
AL,Alabama,Columbia town,77.0,21.1,0.4,0.0,0.4,680.0
AL,Alabama,Columbiana city,71.3,25.1,0.3,0.2,3.0,4176.0
AL,Alabama,Concord CDP,98.5,0.5,0.2,0.2,0.5,2044.0
AL,Alabama,Coosada town,57.7,40.0,0.4,0.2,2.9,1374.0
AL,Alabama,Cordova city,83.4,14.5,0.8,0.1,0.7,2074.0
AL,Alabama,Cottonwood town,71.8,25.4,0.6,0.0,1.1,1438.0
AL,Alabama,County Line town,94.2,1.2,3.1,1.2,0.4,187.0
AL,Alabama,Courtland town,57.6,38.4,1.3,0.3,0.3,592.0
AL,Alabama,Cowarts town,80.8,14.6,0.7,0.1,1.7,2071.0
AL,Alabama,Creola city,84.7,9.8,1.8,0.1,3.1,1842.0
AL,Alabama,Crossville town,88.7,0.4,1.9,0.2,8.3,2312.0
AL,Alabama,Cuba town,85.3,13.0,0.6,0.0,0.3,509.0
AL,Alabama,Cullman city,93.4,0.9,0.3,0.9,8.2,15014.0
AL,Alabama,Cullomburg CDP,42.1,57.3,0.0,0.0,0.0,117.0
AL,Alabama,Cusseta town,95.9,2.4,0.0,1.6,0.0,151.0
AL,Alabama,Dadeville city,50.2,47.5,0.3,0.6,0.9,3181.0
AL,Alabama,Daleville city,66.2,22.6,1.1,2.7,10.1,5188.0
AL,Alabama,Daphne city,84.1,11.8,0.4,1.5,2.9,23559.0
AL,Alabama,Dauphin Island town,97.3,0.4,1.0,0.2,0.7,1319.0
AL,Alabama,Daviston town,88.8,10.3,0.0,0.9,1.9,271.0
AL,Alabama,Dayton town,32.7,65.4,0.0,0.0,0.0,25.0
AL,Alabama,Deatsville town,77.6,19.4,0.1,0.3,1.6,1218.0
AL,Alabama,Decatur city,66.5,21.7,0.7,0.9,12.4,55598.0
AL,Alabama,Deer Park CDP,31.9,66.5,0.0,0.0,1.6,203.0
AL,Alabama,Delta CDP,97.0,0.0,2.5,0.0,0.5,259.0
AL,Alabama,Demopolis city,47.3,50.1,0.1,0.5,2.4,7249.0
AL,Alabama,Detroit town,83.1,13.9,0.0,0.0,0.4,215.0
AL,Alabama,Dodge City town,96.0,0.7,0.8,0.0,2.5,714.0
AL,Alabama,Dora city,85.6,12.2,0.3,0.0,0.7,2295.0
AL,Alabama,Dothan city,63.1,32.5,0.4,1.1,2.9,67708.0
AL,Alabama,Double Springs town,97.3,0.6,0.8,0.2,0.4,1180.0
AL,Alabama,Douglas town,93.3,0.8,0.4,0.0,3.9,1024.0
AL,Alabama,Dozier town,59.6,35.3,0.3,0.3,0.0,307.0
AL,Alabama,Dunnavant CDP,96.7,0.4,0.7,0.0,2.3,984.0
AL,Alabama,Dutton town,90.8,2.5,0.0,0.0,3.2,331.0
AL,Alabama,East Brewton city,74.7,20.8,0.6,0.0,3.1,2508.0
AL,Alabama,East Point CDP,96.5,0.0,0.0,1.0,3.5,151.0
